accession_number	numObservableTrypticPeptides	proteinLength
A0A0G2JP90	53	1100
Q5JPE7-3	53	1100
Q8TAB3-3	43	1100
Q15032-3	23	1100
O94875	46	1100
Q7Z5M5	48	1100
Q6ZN30	40	1099
A0A1C7CYX1	49	1099
Q9ULH7-5	30	1099
Q76FK4-2	53	1099
A0A1W2PPT5	49	1099
Q15032	24	1099
Q13621	41	1099
Q13621-3	41	1099
Q9UHW9-2	41	1099
O60721	36	1099
Q6U841-3	46	1099
O95347-2	51	1099
O43295	56	1099
Q8N1F8	42	1099
Q14C87	50	1099
H0YLX4	54	1099
Q4L235	47	1098
A0A087X2A7	59	1098
Q4G0P3-2	51	1098
O00160	52	1098
P29475-3	51	1098
Q9HAU0-8	50	1098
Q9ULJ8	42	1098
Q5T5C0-3	41	1098
O14776	34	1098
Q8NHU6	47	1098
Q6UY14-3	52	1097
Q0VD83-4	45	1097
Q8WWM7-3	31	1097
O60879-3	45	1097
O00410	53	1097
P23229-9	53	1097
P42702	53	1097
Q9H6N6	57	1097
Q13127	40	1097
Q68CR1-2	42	1097
O60879-2	45	1096
A6NML8	45	1096
Q9NX05	43	1096
A0A087WZQ1	47	1096
O94953	46	1096
A0A0C4DFL8	45	1096
Q6PKG0	54	1096
O15068-2	53	1096
S4R2X0	52	1096
O75151	41	1096
E7ESA6	47	1096
M0R2Z9	46	1096
P82094-2	54	1096
Q8TE56	44	1095
Q8IVF4-2	44	1095
D6RCC7	45	1095
F8W7R3	59	1095
Q15111	46	1095
Q13905-3	46	1095
Q9BXA9-3	38	1095
Q9Y6M7-9	49	1095
O00203	50	1094
Q6ZU80	55	1094
F5GXW1	53	1094
Q8NFZ0-2	54	1094
P52333-2	53	1094
Q9P206-2	37	1094
Q13905-4	47	1094
P49796-6	59	1094
P53992	37	1094
F8WAT5	41	1094
Q9Y6R1-5	34	1094
Q9NQ38-3	39	1094
O95359-5	44	1094
Q9C0B7	51	1094
Q6ZR08-3	53	1093
Q96JA1	56	1093
P55198	26	1093
A0A087WW39	26	1093
Q86W24	50	1093
Q93100	52	1093
Q93100-3	51	1093
A0A087WW73	48	1093
O95486	37	1093
Q2NKQ1-4	45	1093
Q2Y0W8	40	1093
Q9UMS6	46	1093
P82094	54	1093
Q5ST30-4	43	1093
A0A0G2JL52	43	1093
A0A140TA36	44	1093
A0A140TA35	43	1093
P20023-3	53	1092
F5GY55	46	1092
Q96PY5-3	46	1092
Q9HAZ2-4	47	1092
Q9P283-2	42	1092
Q5W0Q7	46	1092
Q9ULE0	49	1092
P53396-2	53	1091
Q08462	43	1091
P54289-2	52	1091
Q8IZS8	47	1091
Q5T0N1-2	41	1091
Q96QB1-1	50	1091
Q504U8	54	1091
Q9HBG6-8	51	1091
P23229-3	52	1091
Q9UHW9-5	40	1091
Q96SB8	49	1091
Q92540-2	37	1091
J3KTI4	55	1091
Q6JQN1-5	52	1090
Q9Y2D5-6	41	1090
Q7Z3S7-6	41	1090
Q8N0W3-2	43	1090
Q9Y6X6-2	46	1090
Q96KQ4	45	1090
Q9Y6M7-2	48	1090
E7EQ52	54	1090
Q70J99	46	1090
A8MQ14	56	1090
Q9P2G1	48	1089
P16234	49	1089
Q8TEQ8	42	1089
D3YTJ2	45	1089
O43156	45	1089
P35125-2	41	1089
Q0VD83	45	1088
P41180-2	40	1088
Q8IUD2-3	49	1088
Q9NRM7	46	1088
Q9ULH7	32	1088
Q9H2T7	50	1088
Q6U841-2	45	1088
C9JQV3	41	1088
E7ESC6	53	1088
Q9ULU4-15	48	1088
Q9H0D2-2	48	1088
Q9NQW6-2	54	1087
Q9Y2J2	43	1087
Q8NG08	53	1087
P15941-5	5	1087
G3V1R5	44	1087
Q9Y6K5	44	1087
A0A087X241	45	1087
Q9UP95-7	40	1087
O00267	47	1087
Q14157	28	1087
Q9UHP3-1	57	1087
Q9UIA9	53	1087
A0A087WYS3	48	1087
O15084-1	43	1086
Q9HD20-2	54	1086
P54289-3	52	1086
O75808	51	1086
Q9HC77-2	48	1086
G8JLD3	50	1086
Q96PY5	46	1086
P23229-5	54	1086
P20701-3	34	1086
A0A0D9SG23	30	1086
Q8TDZ2-4	47	1086
Q13423	37	1086
Q93100-2	52	1086
Q93100-4	51	1086
Q07912-3	43	1086
Q7Z392-3	46	1086
Q93009-3	59	1086
O43683	46	1085
A0A1W2PQ11	52	1085
H0YLE8	45	1085
F5H101	52	1085
O94827-6	48	1085
Q9UP95	40	1085
Q7Z6B7	48	1085
O00268	36	1085
P07996-2	53	1085
Q9ULD9-2	39	1085
O43149-3	49	1085
Q4VCS5	40	1084
P54289-5	52	1084
A0A0A0MQX5	55	1084
P20023-4	52	1084
Q86XP1-5	43	1084
Q8N0W3	42	1084
P56524	43	1084
G3V1A9	44	1084
Q9UHW9-6	41	1084
A0A1W2PNX8	51	1084
O15084-4	42	1083
Q9C0H5	54	1083
Q9UPN4	58	1083
Q32MH5-3	45	1083
Q8TEX9-2	52	1083
Q9ULD8	35	1083
Q9UPQ0	55	1083
O94827-2	47	1083
G3V112	55	1083
Q9H0E3-3	25	1083
Q9Y666	37	1083
A0A0G2JNW7	37	1083
O00267-2	47	1083
Q15386	49	1083
Q8TE60-2	42	1082
Q13367	54	1082
Q9HBG6-10	49	1082
Q8IX01	45	1082
Q8TEX9	51	1081
J3KPI6	46	1081
A0A1B0GTU4	45	1081
O60721-2	36	1081
Q02763-2	44	1081
Q63HK5	53	1081
B1ANS9	49	1081
Q17R98	53	1081
P51828	45	1080
Q7Z5J8-2	49	1080
Q9UPN4-2	58	1080
Q9P2H3-3	45	1080
Q502W6-8	54	1080
P42684-5	49	1079
Q8IZF5	27	1079
Q6AI39	30	1079
Q5VYM1	45	1079
P54289-4	52	1079
Q6ZRK6	56	1079
Q9H251-9	41	1079
Q9H9Y6-2	46	1079
Q9UP95-6	38	1079
Q9Y6R1	32	1079
A0A1C7CYW7	54	1079
F8W726	27	1079
O14607-2	45	1079
Q5FWF4	50	1079
P41180	40	1078
Q9Y4D1	50	1078
E7EWQ4	40	1078
O43795-2	51	1078
Q13308-6	50	1078
Q69YQ0-2	43	1078
Q9Y3M8-4	47	1078
Q14DG7	45	1078
Q8NFM4	37	1077
P46379-5	29	1077
A0A0G2JL47	29	1077
Q6IMN6-2	40	1077
A0A0J9YYF7	49	1077
P55160-2	55	1077
Q13905	46	1077
O14776-2	33	1077
Q6ZSZ6	45	1077
Q96RU2	56	1077
Q17R98-2	53	1077
Q5FWF4-3	50	1077
Q8NB46	44	1076
Q9NY47-4	44	1076
J3QS93	39	1076
Q32MH5	45	1076
Q9Y4F1-2	44	1076
C9JME2	44	1076
Q9Y3R0-3	47	1076
Q05469	53	1076
Q86V48	59	1076
O60524	43	1076
A0A087X1X2	53	1076
A5PLK6	48	1076
Q7Z7G0	51	1075
Q13023-2	44	1075
Q8WWM7	32	1075
Q86Z02-2	37	1075
Q12968	34	1075
O94827-7	48	1075
Q9NW08-2	50	1075
Q6S8J3	49	1075
A5A3E0	49	1075
P0CG38	49	1075
Q96JH8	40	1075
O43295-2	53	1075
Q14966-5	41	1075
Q6UY14	51	1074
Q92833-3	48	1074
Q86YR7-4	54	1074
Q13393	49	1074
Q9NQV6-5	27	1074
Q13127-4	38	1074
Q13591	43	1074
A0A0J9YW40	42	1074
Q96KR1	39	1074
Q9C0D4	50	1074
F8VQP2	33	1073
Q7Z3S7-4	38	1073
P25092	51	1073
P23229-2	53	1073
Q7RTP6-5	55	1073
Q96JH8-1	38	1073
Q8NFY4	50	1073
Q15714	12	1073
Q14139-2	48	1073
Q70EK8	55	1073
Q8TE57-2	48	1072
Q9P2N4-2	50	1072
Q9NZB2-4	48	1072
Q5VV43	38	1072
F8VZV1	41	1072
O60245-2	41	1072
A0A1B0GWB6	47	1072
P07949-2	54	1072
Q96EP0	48	1072
Q13576-2	50	1071
Q13576-3	50	1071
A0A0A0MRC3	45	1071
O94856-12	43	1071
Q2Y0W8-2	39	1071
P36956-2	34	1071
O75044	44	1071
O14980	49	1071
O15063	45	1070
Q96JA1-2	55	1070
Q96AX9-14	50	1070
F6M2K2	22	1070
O95206	46	1070
P42338	48	1070
Q9BZ72-3	44	1070
Q13308	47	1070
B7ZLQ5	48	1070
B7ZM87	44	1070
A0A087WTJ9	59	1070
E9PDU5	45	1070
E7EUN2	47	1069
Q0VD83-3	44	1069
Q7Z2Z2-2	43	1069
Q9UKV0-7	38	1069
K7EIX2	48	1069
Q9UPQ0-4	55	1069
A0A087X1S9	53	1069
Q6ZW49	38	1069
O60245	42	1069
Q9Y3P9	48	1069
O60721-3	37	1069
O14746-3	49	1069
Q8TD43-3	38	1069
H3BUF6	31	1068
Q9Y4D1-2	49	1068
Q86T65	48	1068
O75146	55	1068
P23229-4	55	1068
Q6UVM3-3	50	1068
P55197	26	1068
P52701-2	52	1068
Q12968-2	33	1068
P42336	53	1068
F8W9P4	54	1068
Q5SR50	54	1068
Q5VTI5	42	1068
P28749	51	1068
Q9Y4F9	45	1068
Q9UP95-2	40	1068
Q5M775	48	1068
Q14157-3	26	1068
Q7Z3V4	52	1068
A0A0C4DGM5	44	1068
Q9HCE6-5	34	1067
Q86T65-4	48	1067
O15068-3	51	1067
Q8TDZ2	47	1067
A0A087WWJ1	52	1067
C9J4M6	46	1067
Q8N7X1	53	1067
O94979-6	36	1067
Q9BY07-8	32	1067
Q9ULJ6	19	1067
Q96MI9	50	1066
Q9UKV0-5	37	1066
P26006-1	39	1066
Q14676-4	51	1066
Q96AX9-13	50	1066
O94856-4	43	1066
Q9UPQ7	50	1066
Q8TB72	33	1066
Q96S38	52	1066
Q96DN5	47	1066
Q9BXT4-2	60	1066
Q14139	46	1066
P18206-2	63	1066
Q8WVS4	44	1066
Q9ULJ3	46	1066
F6TT59	40	1065
O43683-3	44	1065
P00450	48	1065
Q5VWQ8-2	50	1065
O75912	39	1065
P08151-2	39	1065
Q9Y283	47	1065
O94898	47	1065
Q12968-3	32	1065
Q7RTR2	56	1065
Q9BZA7-6	45	1065
Q05397-5	45	1065
P42684-10	48	1064
O60566-3	51	1064
O75164	42	1064
A0A0C4DH65	44	1064
Q15334	33	1064
Q8TB72-3	33	1064
Q9HBD1-4	50	1064
Q9NQ38	37	1064
A0A096LP49	45	1063
Q9UBN7-2	28	1063
P53708	45	1063
Q12809-7	41	1063
Q5VV43-2	38	1063
O00159	48	1063
Q63HN8-5	46	1063
Q5ST30	43	1063
B4E0K6	43	1063
A0A140T8Y0	43	1063
A0A0G2JIA5	44	1063
Q9UPM8-2	44	1062
Q8WWM7-2	31	1062
Q8WWM7-9	31	1062
Q86VP6-2	54	1062
Q6ZRS4-4	48	1062
E9PLY0	51	1062
G5E953	54	1062
P59046-7	45	1062
Q9NX02	49	1062
A0A0G2JPQ2	49	1062
A0A087WYL6	52	1062
O94827	47	1062
Q7Z6B7-2	47	1062
Q9UL54-3	36	1062
Q86YA3-4	54	1062
Q8N5B3	31	1061
P0DP91	36	1061
Q5XX13-2	52	1061
P59046	45	1061
P16066	49	1061
Q9Y4C0-3	46	1061
Q13370-2	40	1061
Q9NQV6-1	27	1061
O95155-3	51	1061
B7ZL25	43	1061
A0A0A0MTG1	43	1061
A0A140TA40	43	1061
A0A140TA45	44	1061
Q9Y4E5	43	1061
B1B0D4	43	1060
P51530	61	1060
Q9ULE4	59	1060
Q7RTW8-4	48	1060
Q08174	40	1060
Q9UPP1	39	1060
Q9HAU0-5	49	1060
Q9P2N5	36	1060
Q96JE7	39	1060
E9PS32	58	1060
Q6JQN1	50	1059
Q9NP73-3	36	1059
Q86SJ6-2	33	1059
P78504-2	44	1059
Q6UXM1-2	46	1059
Q66K74	39	1059
J3KN39	48	1059
A0A087WY22	53	1059
Q9NR97-2	48	1059
Q7Z410	53	1059
Q5EBL2	31	1059
Q5TYW1	64	1059
P0CJ78	32	1059
P42684-7	48	1058
O95696	47	1058
Q6DHV5	44	1058
Q9Y4B6-3	47	1058
P57678	49	1058
P52701-4	52	1058
Q9BQI6	48	1058
A0A0A0MRP6	47	1058
A0A087WUE9	49	1058
P22314	50	1058
A0A087WSX5	31	1058
A0A087X0M6	55	1058
E7EW33	52	1057
Q5GLZ8	48	1057
Q9UPQ0-2	54	1057
Q9NTJ4-4	44	1057
C9JKR3	37	1057
P37275-3	42	1057
Q8NB25-2	56	1056
Q9H3R0	41	1056
P52732	55	1056
Q9UPQ0-10	54	1056
A0A087WW77	33	1056
Q96AX9-11	49	1056
Q9Y4G2	46	1056
Q8NDX1	36	1056
H7BXF5	24	1056
Q93073-2	35	1056
Q9NR96-4	49	1056
A0A1B0GTN4	38	1055
P29323	47	1055
J3QLU9	40	1055
O60524-3	42	1055
Q9C0H9	54	1055
Q9NR96-3	49	1055
Q9UHP3	56	1055
Q86YS7-5	47	1054
A0A087WUB1	49	1054
Q03701	45	1054
Q8TF46	54	1054
Q9P1A6	38	1054
O94887	47	1054
Q96S38-2	51	1054
Q8NFY4-6	48	1054
Q9UP95-5	38	1054
E7EW28	45	1054
P28370	47	1054
Q9ULU4-17	47	1054
Q8N157-2	48	1053
O15084	41	1053
Q86YS7-4	47	1053
Q2KHT3	43	1053
Q9BXX0	45	1053
Q86V48-3	55	1053
Q9BZA8-4	44	1053
Q9UJQ4	41	1053
Q6P2S7-2	47	1053
O95625	40	1053
Q5VXI4	44	1052
Q93084-5	43	1052
E7EWW0	52	1052
P51530-4	60	1052
Q5XX13	50	1052
Q6UVM3-4	51	1052
A0A0U1RQI7	14	1052
Q14703	42	1052
A0A0C3SFZ7	50	1052
Q9Y4C4	47	1052
Q05397	45	1052
A0A0A0MR46	55	1052
O15034	39	1052
O60264	47	1052
A0AVT1	55	1052
Q86YS7-3	48	1051
Q5XX13-4	50	1051
P26006	38	1051
Q03112	50	1051
Q96T76-8	50	1051
O60524-5	42	1051
Q6ZP01	55	1051
O43147-2	38	1051
Q96NW4	53	1050
Q13367-3	53	1050
F8WB06	33	1050
O60566	51	1050
Q15034	45	1050
Q92617	51	1050
Q9BQF6	40	1050
O15164	52	1050
O75385	44	1050
P31327-2	47	1049
Q02413	37	1049
Q5GLZ8-2	49	1049
P08648	38	1049
Q8IZA0	42	1049
Q9ULH7-4	30	1049
Q01804-3	42	1049
H0YN99	48	1049
Q8WYL5	40	1049
Q9UL54-2	40	1049
Q9NYK1	52	1049
Q86UP3-3	54	1049
E9PCH6	50	1048
P57737-3	37	1048
A0A1B0GWJ3	53	1048
P06756	52	1048
Q86W28	48	1048
Q01804-5	42	1048
Q9BZA8-2	44	1048
Q9Y2H5	40	1048
Q9NYI0	46	1048
Q9H0E3	23	1048
O75362	52	1048
O75110	44	1047
Q6ZRI6	47	1047
Q9H7U1-3	42	1047
I3L2J8	56	1047
E7EM72	38	1047
I3L2C7	49	1047
Q9H3R0-2	40	1047
I3L3K7	33	1047
P20594	52	1047
Q9NYI0-2	46	1047
P20936	45	1047
F5GX51	43	1047
Q9H2E6-2	49	1047
A0A0A0MQU6	49	1047
A0A0U1RQE4	41	1047
P36956-3	34	1047
O60284	44	1047
Q9Y5B9	45	1047
Q86UV5-8	50	1047
Q9UDT6	50	1046
A0A0A0MSA4	48	1046
Q9P206-3	35	1046
O15294	49	1046
O00203-3	50	1045
P54707-2	46	1045
Q6PJG2	47	1045
Q9Y4F1	43	1045
Q9HCM7	34	1045
Q86TC9-2	47	1045
Q12968-4	33	1045
E9PKT1	43	1045
Q9NS56	39	1045
Q96RU2-2	54	1045
Q5T2S8	43	1044
Q93084-6	43	1044
Q8WWM7-4	30	1044
Q8WWM7-5	30	1044
Q8WWM7-8	30	1044
Q6ZRS4	48	1044
Q9UPN4-3	56	1044
Q13683-13	36	1044
Q86Z14	47	1044
A0A0D9SG62	42	1044
A6BM72	28	1044
F8W8P2	42	1044
O00159-3	46	1044
O00329	50	1044
Q15032-4	23	1044
Q2Y0W8-3	38	1044
Q8N2E2-3	35	1044
P42684-4	46	1043
Q93084	45	1043
Q8NFZ0	52	1043
O60391	42	1043
Q9C0E4	54	1043
A0A087WU38	54	1043
Q68E01	47	1043
Q03112-6	49	1043
Q9UBC5	53	1043
Q86W25	45	1043
O94827-3	45	1043
A0A0A0MS24	45	1043
P15918	50	1043
Q9UDY2-2	46	1043
P17040	52	1043
P16615	43	1042
Q86YS7-2	47	1042
Q9Y5Q5	37	1042
Q9Y4D2	44	1042
Q68E01-2	47	1042
Q03112-5	49	1042
G5EA31	37	1042
Q96FS4	44	1042
P42285	50	1042
P28370-2	46	1042
Q8NB14	42	1042
Q6ZS81-3	48	1042
P17040-3	52	1042
O60231	43	1041
Q96P70	41	1041
A0A0G2JQF5	46	1041
A0A1W2PRB5	46	1041
A0A0J9YVS1	46	1041
Q9NR97	47	1041
E9PH99	42	1041
Q02246	46	1040
Q6PJP8	43	1040
Q9P1A6-2	37	1040
Q86SJ6	33	1040
Q05DH4	41	1040
J3KQ16	45	1040
Q9NTJ4	42	1040
Q9NX02-2	47	1040
A0A0G2JLX3	47	1040
Q9HC29	49	1040
Q9P2E7	39	1040
Q9BY07-4	32	1040
Q2Y0W8-5	39	1040
Q8IX01-3	42	1040
C9J1X3	40	1040
Q8TD43-2	40	1040
P54707	46	1039
Q76KP1	48	1039
B1AMA2	44	1039
Q9P2Q2	48	1039
P08514	37	1039
F5H6E2	46	1039
Q9NX02-5	49	1039
A0A0G2JMG8	49	1039
Q86UR5-2	46	1039
A3KMH1-2	56	1039
Q13873	41	1038
B7ZKJ3	48	1038
O95373	41	1038
E7EX83	41	1038
Q6WCQ1-2	52	1038
A0A140TA25	41	1038
Q9NX02-4	47	1038
E9PCR7	44	1038
Q5JRX3-2	51	1038
P0CG39	47	1038
Q92932-3	47	1038
Q13905-2	44	1038
Q9UQ26-2	44	1038
Q4VXL8	40	1038
Q07912	40	1038
Q9BX69	50	1037
P54756	48	1037
Q5JWF2	28	1037
Q9UQL6-2	40	1037
O00291	47	1037
O00410-2	48	1037
O15397	47	1037
F8VVB8	52	1037
Q7RTR2-4	55	1037
Q8WX94-3	56	1037
A0A0G2JNK3	56	1037
E9PNI7	46	1037
Q9BZA8-3	44	1037
Q5VY43	35	1037
Q5JRX3	51	1037
I3L4N6	37	1037
A0A0A0MS76	48	1037
P12111-3	54	1036
Q9NZV1	43	1036
Q5VWQ8-4	48	1036
Q9UF33	39	1036
Q5TCX8	43	1036
A0A1W2PKR9	43	1036
A0A0C4DGQ4	45	1036
Q96P20	46	1036
O15294-3	48	1036
Q6ZMN7	45	1036
Q13393-2	47	1036
E9PD25	54	1036
Q8IYT8	43	1036
F8VWZ8	51	1035
P20648	45	1035
F5H562	40	1035
A0A087X0F1	49	1035
Q5HY64	48	1035
O75420	46	1035
Q13797	35	1035
Q9P206	36	1035
Q6ZW49-1	41	1035
Q96KW2	26	1035
Q9Y6R1-2	30	1035
Q8WXH0-13	45	1035
Q8NAT2-1	50	1035
E5RFF3	47	1035
Q86UV5	49	1035
A6NC98-2	43	1034
Q8WXI2	46	1034
Q7Z5Q1-9	33	1034
Q9Y2L6	50	1034
E3W980	46	1034
O60524-4	42	1034
E9PDF2	44	1034
Q96MS0-2	43	1034
Q9NWH9	37	1034
Q12816-4	14	1034
Q9NRE2	41	1034
Q93084-7	43	1033
P20023	49	1033
Q66K74-2	39	1033
Q9Y2I6-2	47	1033
P59045	46	1033
Q9H5P4-3	48	1033
O94855-2	33	1033
A0A087X1R3	51	1032
B1APH0	38	1032
Q9BWT7	47	1032
A0A0C4DG89	46	1032
Q9HBG6-7	47	1032
P13612	45	1032
Q12840	49	1032
Q9C099	48	1032
Q9Y6X9	40	1032
J3KQS7	40	1032
Q8N1T3	42	1032
Q5VT82	47	1032
O95197	43	1032
O94855	33	1032
G3V220	30	1032
Q9NR96	48	1032
Q6ZSZ6-2	44	1032
V9GYM8	50	1031
Q5VYM1-2	42	1031
Q2NKJ3-2	43	1031
Q7L014	46	1031
E5RFJ0	51	1031
Q9ULH0-3	50	1031
Q8TEW0-8	51	1031
A8K8P3-4	45	1031
Q9NRE2-2	41	1031
P59923	47	1031
J3KQ21	50	1030
J3KQ26	37	1030
Q4G0X9-2	44	1030
O76039	57	1030
A5PL33	44	1030
Q96T76	50	1030
Q68CQ1-2	41	1030
A0A087WZG6	51	1030
O14974	39	1030
Q13308-2	45	1030
Q9H2E6	49	1030
Q8NFY4-5	47	1030
P55017-2	40	1030
Q8IX01-4	44	1030
Q13733	44	1029
Q93084-3	43	1029
A8MWY0	47	1029
Q9P2E2	39	1029
A5PL33-2	44	1029
Q86W28-2	47	1029
P55017-3	40	1029
Q9UPQ9-2	34	1029
O15042	34	1029
O14709	38	1029
O43683-2	44	1028
Q9P232	51	1028
Q9UQ52	50	1028
P12109	51	1028
A0A0D9SFR6	41	1028
Q8IVF7	46	1028
Q9P2E2-3	39	1028
O00159-2	45	1028
Q9H4L7-2	42	1028
O15042-2	34	1028
E7ET15	34	1028
Q4G0T1	42	1027
U3KPZ7	35	1027
Q8IVF7-3	46	1027
F8W1F5	46	1027
C9JNS8	41	1027
Q53TQ3-2	32	1027
Q86VS3	43	1027
Q5VV43-3	36	1027
P55197-1	29	1027
Q8NDX1-2	35	1027
P13637-3	44	1026
Q8IWV2	46	1026
O94779-2	52	1026
A0A087X0S5	50	1026
A4D0V7	44	1026
Q86WZ0	53	1026
Q86V48-2	56	1026
A0A087WX60	47	1026
P12036	29	1026
Q9H4L7	41	1026
C9JCY1	41	1026
O95359-1	39	1026
A0A0G2JSA7	48	1026
A0A087X1Z1	48	1026
Q8N961	45	1025
Q12882	47	1025
Q9UKV0-6	36	1025
Q9BYX4	40	1025
Q9UIQ6	51	1025
Q7Z553-3	46	1025
Q6WCQ1	52	1025
Q9H0A0	53	1025
O75147-2	42	1025
Q53GL7	45	1025
Q9BZA7-2	44	1025
P13637-2	44	1024
Q9UII4	52	1024
O75578-3	33	1024
G3V1V7	48	1024
Q12986-2	49	1024
Q9NPP4	53	1024
Q9UPP1-2	38	1024
Q99575	47	1024
A5PKW4	40	1024
Q9BYH1	30	1024
Q8NHU6-2	44	1024
Q24JP5-2	34	1024
Q9UKU6	49	1024
Q96RT8	48	1024
Q96RT8-2	49	1024
A0A0G2JPW5	48	1024
A0A0G2JQX1	49	1024
E9PF42	38	1024
C9J6P4	53	1024
Q6P4F7	43	1023
P05023	41	1023
P05023-4	41	1023
Q8N5R6-2	46	1023
Q69YH5	44	1023
O94988	49	1023
Q5JWF2-2	28	1023
C9JKA9	48	1023
Q02218	44	1023
Q86YN6	37	1023
Q9NQV6-2	27	1023
Q9NZ71-4	54	1023
Q9BYH1-6	30	1023
Q8ND04-2	50	1023
Q92502	37	1023
Q24JP5	34	1023
Q9ULU4-6	44	1023
A0A087WTT8	52	1022
Q68DQ2-1	50	1022
F8WCM8	40	1022
A0A0G2JNH7	40	1022
Q8IVU3	46	1022
Q8N1T3-3	41	1022
Q92617-6	49	1022
Q15147-2	48	1022
Q8TBY8	53	1022
G3V1Q7	53	1022
G5EA48	44	1022
O14617-4	43	1021
Q93033	49	1021
O15197	40	1021
Q9BZA7-7	42	1021
A0A087WXI0	38	1021
P55017	39	1021
P50993	45	1020
Q8TEH3-6	37	1020
Q6P2E9-2	38	1020
P23378	41	1020
C9J5F6	42	1020
Q15811-5	37	1020
Q6P1M3	38	1020
F5H2F4	52	1020
Q92834	43	1020
J3QSS1	39	1020
Q5T011-4	35	1020
Q9UDY2-4	46	1020
F5H1R4	31	1019
P12110	44	1019
Q8N3X1-2	29	1019
P14735	46	1019
Q6P9B9	31	1019
Q6PKG0-3	48	1019
J3QRV5	38	1019
P23508-2	43	1019
Q02218-2	43	1019
Q8IWE5	39	1019
Q9BY07-7	31	1019
Q9BXU1	51	1019
P98073	41	1019
Q6ZUX3	50	1019
Q8WW38-2	52	1019
E7ET52	51	1019
A0A0A0MRJ1	49	1018
Q12860	52	1018
B0I1T2	50	1018
A0A0A0MT40	43	1018
Q9Y6M7-3	45	1018
Q6ZMP0	49	1018
Q7Z392-4	47	1018
P22314-2	48	1018
Q9P2H5	49	1018
Q8IZP9	29	1017
Q96QB1-4	47	1017
Q63HQ2	48	1017
Q9Y2M0	40	1017
Q8N3X1	28	1017
P54198	43	1017
Q4G0P3-5	43	1017
Q9UQ05	40	1017
A0A075B785	44	1017
Q9NTJ4-2	43	1017
A8MW92	44	1017
Q86YN6-3	37	1017
Q8NFY4-4	48	1017
Q9BQF6-2	38	1017
Q9NR96-5	49	1017
Q5TIE3-4	48	1017
Q9Y6C2	40	1016
B7ZKW7	47	1016
O15357-2	47	1016
Q92585	30	1016
Q96P20-6	45	1016
E9PK67	46	1016
Q9UPR3	33	1016
Q9Y6H5-3	43	1016
O94964-4	53	1016
X6R3R3	53	1016
O15164-2	50	1016
Q6ZSZ5-2	42	1015
P16615-4	42	1015
P54756-2	47	1015
Q9UPZ3-2	53	1015
Q9UI26-2	43	1015
Q15811-6	36	1015
Q6P1M3-2	37	1015
O60336-4	42	1015
Q9BPX3	45	1015
O60313-10	51	1015
E7EW31	45	1015
Q92932	45	1015
A0A087X0E6	34	1015
Q9Y6L7	52	1015
Q8IZP9-2	29	1014
Q5TCS8-3	40	1014
J3KQG3	48	1014
P10266	48	1014
Q8WUI4-8	38	1014
J3KPH8	38	1014
A0A0B4J1W0	51	1014
O76041	52	1014
P09874	44	1014
Q4KWH8-4	43	1014
Q13308-4	45	1014
P28749-2	48	1014
P13637	43	1013
F5H0N7	49	1013
Q9Y5Q5-2	35	1013
Q5VVW2	38	1013
Q6UXG2	45	1013
Q96AX9	48	1013
Q9HC29-2	48	1013
O95197-2	43	1013
Q9BYH1-7	31	1013
Q8IVF5-4	43	1013
O43897	53	1013
Q9P1Z0	34	1013
Q9Y4E5-2	43	1013
Q5T1B0	48	1012
O43303	42	1012
Q9ULI3-2	36	1012
Q9NSE4	45	1012
P06756-2	51	1012
Q9UEF7	42	1012
Q9C099-2	47	1012
O75665	47	1012
Q9BVI0	40	1012
P0C869-6	46	1012
Q9P2R6-2	24	1012
Q86UR5-12	48	1012
F5H127	35	1012
Q9C0H9-2	51	1012
P41226	46	1012
P40818-2	43	1012
A2A2Z9	43	1011
Q9UDT6-2	49	1011
Q5T0W9	49	1011
Q9UKV0	36	1011
Q5VV43-4	37	1011
Q9UIQ6-2	50	1011
J3QKX9	43	1011
O00754	47	1011
Q86W92	46	1011
Q8WZA2	46	1011
Q86YV0	49	1011
Q8NFY4-2	46	1011
B7ZLJ8	31	1011
Q9UP95-3	36	1011
E7EQI7	54	1011
Q8TEH3-7	35	1010
P22102	46	1010
O00754-2	46	1010
Q9ULD0	42	1010
B5MCG9	23	1010
Q9HCD6-4	38	1010
Q96J65-2	40	1009
E7EWS1	46	1009
B1AKY9	45	1009
Q8TEH3	37	1009
Q9ULE3	46	1009
Q63HQ2-2	48	1009
Q9ULK0	42	1009
Q14527	50	1009
P49916	49	1009
Q9Y2E5	37	1009
Q96AX9-3	48	1009
Q8WX94-2	54	1009
A0A0G2JPH3	54	1009
M0QZR8	48	1009
Q14289	60	1009
A0A087X0H9	30	1009
Q8IX30-2	41	1009
E9PEI0	44	1008
Q9H2U1	48	1008
Q5JZY3	48	1008
Q7Z2K8	61	1008
O00291-4	45	1008
A0A0C4DGA6	50	1008
F5GY88	51	1008
A0A0A0MRW6	37	1008
Q6VY07-2	37	1008
Q8TB72-4	29	1008
D6RAA5	39	1008
A6QL63-3	44	1007
Q12860-2	51	1007
Q7Z5Q1-8	32	1007
P20023-2	48	1007
O43424	44	1007
Q9H6R4-2	36	1007
Q9Y5I4	42	1007
Q8TBY8-2	53	1007
Q13523	31	1007
Q5T8P6	31	1007
Q8WZ75	41	1007
Q9Y467	27	1007
J3QQW3	35	1007
O43150	44	1006
Q99700-5	30	1006
Q5VYM1-3	41	1006
